text,label
i feel let alone give a shit,depression
i break down and it leaves me feeling bitter,not depression
i begin to feel unpleasant about anime fandom in general,depression
i can brandish this article at anyone who makes fun of me for staying in bed too late or whenever i feel tragic for staying up until,depression
Double Stuff Oreos mane say,not depression
i realise that desiring a substance to feed a feeling only compounds the desire to feed the feeling i realise ive abused substances since early childhood,depression
i prayed to trust god with my desire to feel a divine sense of home,not depression
"RT @El_Grillo1: In the ME, the crow would eat the bear MT @webradius Obviously not in the ME MT @solemnwatch: Bear Saves Drowning Crow - An&#8230;",not depression
i feel stress free heading into the holidays,not depression
im with her most of the time i feel perfectly content,not depression
i have never met in real life but feel super bonded to through crisis pregnancies and genius children and my new friend sara at a href http everybitterthingissweet,not depression
i feel like i m getting a milkshake and it has really helped me control my sweet tooth,not depression
RT @zippy1981: @voretaq7 from a TDD POV linux is just a mock for the kernel of the GNU/HURD system.,not depression
i was feeling apprehensive about my journey because i would be using public transportation the whole way,not depression
@Titan4Ever2488 how do Yankees fans look back on Gary Sheffield's time with the team?,not depression
@mdsaab1 lmaoo abo crusty hands,not depression
anybody want to take me to pollo?,not depression
i don t feel particularly elegant though,not depression
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,not depression
Why McDonald's breakfast good but the lunch trash,not depression
RT @120Sports: Twitter tipped its cap to say #FarewellCaptain to Jeter in his Yankee Stadium finale. VIDEO: http://t.co/QdldmWBwXJ http://t&#8230;,not depression
"I know right. Get one guy out!! Man! @pjmclaugh: You had ONE JOB, Josh@Nobz13 Outman! #Yankees&#8221;",not depression
i don t feel like i m unsuccessful when i fail at reaching a goal in my freelance writing career,depression
i am happy to report that i was able to get miles in with minimal pain i just iced it afterwards and im feeling ok,not depression
@KodyMark1 go Yankees,not depression
RT @BlissTabitha: Homeowner Shoots Armed Suspect Who Attacked and Pistol Whipped Him http://t.co/VLuEwUGclg,not depression
i feel like i have been beaten up and looking back on my week i can see why,depression
"RT @49ers: Oregon State WR @brandincooks is a popular #49ers pick in recent mock drafts. 

DRAFT TRACKER: http://t.co/AEueKmhkQX http://t.c&#8230;",not depression
i just didn t end feeling satisfied,not depression
