text,label
"Every New Years Eve night I go to the pub and have many drinks, then catch the bus to my old school. I sit on the swing and listen to music and just reflect on everything while crying happy sad tears as I wait for the fire works. It’s beautiful",depression
"I am so tired. I can feel my health declining. I dont get out of bed, I miss so much work and I am terrified to fail school yet I can't do any of my work. The break doesn't help. I sleep up to 15 hours or more a day, especially if I work. 

My thoughts race, they've made me numb. I bought a  vape because nicotine used to help me and now I feel hooked again but I dont have the energy to buy more pods so im quitting again I guess. My pills were helping but I probably messed that up by being an alcoholic and increasing my dose d8dnt help either. Therapy is hard right now. 
I don't wanna do anything I just want to stop waking up. I feel bad for my partner I want to break up because I deserve to be alone. I'm sick of the intrusive thoughts im sick of everything",depression
"I’m 15 yrs. I have been depressed and in order to feel better I drink liqour. Ik, its bad but for me its the only thing thing that makes me feel better.",depression
i’m looking at my cuts on my wrist and i’m literally disgusted. why would i ever do that to myself like i can’t believe i actually did that. i’m just so shocked that i really did it after 2 years of making sure no matter what i would never do it. i was switching between weed and percs to help me so i wouldn’t have to. but i really did it and i need them to heal immediately cause i don’t want to see it no more,depression
"Everything is just boring to me. I started doing drugs at the start of this year just for some novelty. Since then I've done so much, weed, alcohol, Xanax, DMT, ketamine, LSD, MDMA, nitrous, 2C-B, and none of it is really interesting to me anymore. Drugs are still interesting for me to read about sometimes, but even just doing them is kind of boring. It's nice when I'm high because I'm distracted from reality for a while, but then it wears off and I'm back here and I'm left thinking what the point is.",depression
"I’m an only child at the moment, I just live with my parents, I have friends at the moment, not like I used to, I have a nicotine addiction, I smoke weed a lot, I don’t do much anymore, nothing makes me excited, I’ve been thinking about ending my life for a while, I don’t know how, or when, I just have been thinking about it, I’ve been a loner most of my life, had an illness that kept me out of school for my childhood. No friends, nothing, I’m in a shitty college course that just might get me somewhere, i feel no one understands the trauma of being in hospital for your whole childhood. I cut myself daily, I hate being sober, I have no one, no hopes, no dreams, what is the point.",depression
"The thought of another few months of lockdown are too much right now and I’m scared what I’m going to. 

I’ve been admitted to a psychiatric hospital 3 times in the last 6 months and just as I was starting to feel happy and go out more with mates playing football etc everything gets cancelled again. This is making it SO difficult for me to get through the day to day at work as there’s nothing to look forward to. 

I constantly feel bored and I have no motivation and can barely make it through a day at work. 

I’ve since turned to drugs to give me that buzz I’ve been missing and yesterday I came to the realisation I’m just really not happy without the drugs. I know this is probably a bad path to go down but I don’t care anymore. It’s the only thing giving me enjoyment in life right now.",depression
"I’ve never felt so alone in my entire life. Not only that, but my future doesn’t look promising at all.

I don’t know what to do. I hate Christmas, I hate the New Year, which is nothing more than a repeat of the last with some extra booze and drugs to keep me pacified.

I’m a slave to anything that keeps me far away from my thoughts. I dread going to sleep. It’s so silent and it takes so long. I just want peace.",depression
"I use cannabis every day. I look forward to it because I feel so much better/content when I use.  However some say it's actually making my depression and anxiety worse so it's like a vicious cycle.
Some might say quit smoking and test the theory but that would be really uncomfortable in allot of ways.",depression
"Hey, 
I’m a 28 almost 29 male from the Midwest. I’ve struggled with anxiety, depression, ptsd, all of the above for quite some time now. I’ve tried different treatments to no avail. My doctors finally agreed on ketamine infusions. I had to take a leave from work to come home to my parents and start these infusions. I am scared shitless. I know this is what I want so bad but I have never taken any psychedelic drug and do not know what to expect. I do smoke quite a bit of weed, but I know this won’t be anything like that and I was just wondering if anybody here has gone through ketamine therapy and what their thoughts were",depression
